iccs,unit,geo,year,value,category
ICCS020111,P_HTHAB,LU,2017,99.04,
ICCS020111,P_HTHAB,LU,2018,101.49,
ICCS020111,P_HTHAB,LU,2019,103.76,
ICCS020111,P_HTHAB,LU,2020,77.62,
ICCS020111,P_HTHAB,LU,2021,86.34,
ICCS020111,P_HTHAB,LU,2022,107.84,
ICCS020111,P_HTHAB,LU,2023,103.36,
ICCS020111,P_HTHAB,LU,2024,111.45,
ICCS020111,P_HTHAB,LV,2008,61.41,
ICCS020111,P_HTHAB,LV,2009,56.18,
ICCS020111,P_HTHAB,LV,2010,57.82,
ICCS020111,P_HTHAB,LV,2011,55.96,
ICCS020111,P_HTHAB,LV,2012,64.8,
ICCS020111,P_HTHAB,LV,2013,22.63,
ICCS020111,P_HTHAB,LV,2014,28.43,
ICCS020111,P_HTHAB,LV,2015,26.89,
ICCS020111,P_HTHAB,LV,2016,33.37,
ICCS020111,P_HTHAB,LV,2017,33.69,
ICCS020111,P_HTHAB,LV,2018,33.4,
ICCS020111,P_HTHAB,LV,2019,33.28,
ICCS020111,P_HTHAB,LV,2020,31.24,
ICCS020111,P_HTHAB,LV,2021,26.04,
ICCS020111,P_HTHAB,LV,2022,27.24,
ICCS020111,P_HTHAB,LV,2023,26.75,
ICCS020111,P_HTHAB,LV,2024,29.17,
ICCS020111,P_HTHAB,MT,2008,48.06,
ICCS020111,P_HTHAB,MT,2009,42.1,
ICCS020111,P_HTHAB,MT,2010,43.48,
ICCS020111,P_HTHAB,MT,2011,43.62,
ICCS020111,P_HTHAB,MT,2012,41.67,
ICCS020111,P_HTHAB,MT,2013,51.74,
ICCS020111,P_HTHAB,MT,2014,37.61,
ICCS020111,P_HTHAB,MT,2015,42.62,
ICCS020111,P_HTHAB,MT,2016,44.4,
ICCS020111,P_HTHAB,MT,2017,40.41,
ICCS020111,P_HTHAB,MT,2018,38.47,
ICCS020111,P_HTHAB,MT,2019,40.52,
ICCS020111,P_HTHAB,MT,2020,35.56,
ICCS020111,P_HTHAB,MT,2021,33.13,
