key,category,v2014,v2024,n2014,n2024,same_basket,missing,index_2024,growth_pct
sexual_violence,Sexual violence,131952,256302,27,27,True,,194.2,94.2
rape,Rape,39207,98190,26,26,True,IT,250.4,150.4
